height radius accuracy
2.9831 0.9615 100.1274
3.1186 0.9615 100.2817
3.2542 0.9615 100.3653
3.3898 0.9615 100.4586
3.5254 0.9615 100.5933
3.6610 0.9615 100.8017
3.7966 0.9615 101.5299
3.9322 0.9615 102.3191
4.0678 0.9615 102.4317
4.2034 0.9615 101.8788
4.3390 0.9615 101.1278
4.4746 0.9615 100.5391
4.6102 0.9615 99.9412
4.7458 0.9615 99.1856
4.8814 0.9615 98.0618
5.0169 0.9615 96.3339
5.1525 0.9615 93.9321
5.2881 0.9615 91.0651
5.4237 0.9615 87.9701
5.5593 0.9615 84.8623
5.6949 0.9615 81.9453
5.8305 0.9615 79.3905
5.9661 0.9615 76.5756
6.1017 0.9615 73.0926
6.2373 0.9615 68.9594
6.3729 0.9615 65.1087
6.5085 0.9615 61.7342
6.6441 0.9615 58.4685
6.7797 0.9615 55.0042
6.9153 0.9615 51.0607
7.0508 0.9615 46.4072
7.1864 0.9615 40.8140
7.3220 0.9615 34.4578
7.4576 0.9615 27.6100
7.5932 0.9615 20.4962
7.7288 0.9615 13.3706
7.8644 0.9615 6.3803
8.0000 0.9615 -0.4748
0.0000 1.1538 97.5142
0.1356 1.1538 97.3601
0.2712 1.1538 97.3840
0.4068 1.1538 97.5174
0.5424 1.1538 97.8298
0.6780 1.1538 98.0174
0.8136 1.1538 97.8852
0.9492 1.1538 97.7691
1.0847 1.1538 97.8172
1.2203 1.1538 98.1296
1.3559 1.1538 98.4614
1.4915 1.1538 98.4901
1.6271 1.1538 98.4959
1.7627 1.1538 98.5947
1.8983 1.1538 98.6757
2.0339 1.1538 98.6804
2.1695 1.1538 98.7026
2.3051 1.1538 98.7587
2.4407 1.1538 98.8762
2.5763 1.1538 99.1267
2.7119 1.1538 99.4880
2.8475 1.1538 99.8994
2.9831 1.1538 100.2176
3.1186 1.1538 100.3961
3.2542 1.1538 100.5045
3.3898 1.1538 100.6190
3.5254 1.1538 100.7563
3.6610 1.1538 101.1687
3.7966 1.1538 102.0607
3.9322 1.1538 102.7474
4.0678 1.1538 102.8075
4.2034 1.1538 102.2545
4.3390 1.1538 101.3153
4.4746 1.1538 100.4320
4.6102 1.1538 99.6116
4.7458 1.1538 98.6912
4.8814 1.1538 97.4422
5.0169 1.1538 95.5979
5.1525 1.1538 93.0940
5.2881 1.1538 90.1436
5.4237 1.1538 87.0319
5.5593 1.1538 83.9827
5.6949 1.1538 81.1969
5.8305 1.1538 78.5860
5.9661 1.1538 75.5976
6.1017 1.1538 72.0349
6.2373 1.1538 67.8696
6.3729 1.1538 63.7061
6.5085 1.1538 60.0098
6.6441 1.1538 56.5859
6.7797 1.1538 53.1017
6.9153 1.1538 49.2062
7.0508 1.1538 44.6427
7.1864 1.1538 39.1617
7.3220 1.1538 32.9446
7.4576 1.1538 26.3234
7.5932 1.1538 19.5394
7.7288 1.1538 12.8456
7.8644 1.1538 6.2229
8.0000 1.1538 -0.2770
0.0000 1.3462 97.3833
0.1356 1.3462 97.2486
0.2712 1.3462 97.3077
0.4068 1.3462 97.5282
0.5424 1.3462 97.8647
0.6780 1.3462 97.8830
0.8136 1.3462 97.7246
0.9492 1.3462 97.6221
1.0847 1.3462 97.6637
1.2203 1.3462 97.9406
1.3559 1.3462 98.3145
1.4915 1.3462 98.4959
1.6271 1.3462 98.4532
1.7627 1.3462 98.5187
1.8983 1.3462 98.6084
