angle radius accuracy
-7.7966 1.3205 110.5634
-7.1186 1.3205 111.9080
-6.4407 1.3205 112.8143
-5.7627 1.3205 113.3377
-5.0847 1.3205 113.5337
-4.4068 1.3205 113.4578
-3.7288 1.3205 113.1656
-3.0508 1.3205 112.7592
-2.3729 1.3205 112.4405
-1.6949 1.3205 112.3443
-1.0169 1.3205 111.8173
-0.3390 1.3205 110.9388
0.3390 1.3205 110.5969
1.0169 1.3205 110.6771
1.6949 1.3205 110.5430
2.3729 1.3205 110.1303
3.0508 1.3205 109.8837
3.7288 1.3205 109.7165
4.4068 1.3205 109.4915
5.0847 1.3205 109.1431
5.7627 1.3205 108.6399
6.4407 1.3205 107.9505
7.1186 1.3205 107.0436
7.7966 1.3205 105.8878
8.4746 1.3205 104.4543
9.1525 1.3205 102.7376
9.8305 1.3205 100.7204
10.5085 1.3205 98.3708
11.1864 1.3205 95.6731
11.8644 1.3205 92.6608
12.5424 1.3205 89.3608
13.2203 1.3205 85.8004
13.8983 1.3205 82.0121
14.5763 1.3205 78.0284
15.2542 1.3205 73.8817
15.9322 1.3205 69.6046
16.6102 1.3205 65.2336
17.2881 1.3205 60.8825
17.9661 1.3205 56.6624
18.6441 1.3205 52.5653
19.3220 1.3205 48.3098
20.0000 1.3205 44.0007
-20.0000 1.4231 0.8721
-19.3220 1.4231 8.7896
-18.6441 1.4231 16.7339
-17.9661 1.4231 24.8094
-17.2881 1.4231 32.8321
-16.6102 1.4231 40.7436
-15.9322 1.4231 48.4916
-15.2542 1.4231 56.0235
-14.5763 1.4231 63.2871
-13.8983 1.4231 70.2300
-13.2203 1.4231 76.7997
-12.5424 1.4231 82.9439
-11.8644 1.4231 88.6103
-11.1864 1.4231 93.7464
-10.5085 1.4231 98.2938
-9.8305 1.4231 102.1290
-9.1525 1.4231 105.2686
-8.4746 1.4231 107.8008
-7.7966 1.4231 109.7835
-7.1186 1.4231 111.2724
-6.4407 1.4231 112.3229
-5.7627 1.4231 112.9904
-5.0847 1.4231 113.3307
-4.4068 1.4231 113.3990
-3.7288 1.4231 113.2510
-3.0508 1.4231 112.9422
-2.3729 1.4231 112.5281
-1.6949 1.4231 112.0642
-1.0169 1.4231 111.6737
-0.3390 1.4231 111.3576
0.3390 1.4231 111.0808
1.0169 1.4231 110.8792
1.6949 1.4231 110.7346
2.3729 1.4231 110.6422
3.0508 1.4231 110.5203
3.7288 1.4231 110.3378
4.4068 1.4231 110.0631
5.0847 1.4231 109.6650
5.7627 1.4231 109.1121
6.4407 1.4231 108.3730
7.1186 1.4231 107.4165
7.7966 1.4231 106.2110
8.4746 1.4231 104.7253
9.1525 1.4231 102.9280
9.8305 1.4231 100.8085
10.5085 1.4231 98.3648
11.1864 1.4231 95.5817
11.8644 1.4231 92.4748
12.5424 1.4231 89.0751
13.2203 1.4231 85.4151
13.8983 1.4231 81.5271
14.5763 1.4231 77.4437
15.2542 1.4231 73.1975
15.9322 1.4231 68.8207
16.6102 1.4231 64.3460
17.2881 1.4231 59.8058
17.9661 1.4231 55.2326
18.6441 1.4231 50.6642
19.3220 1.4231 46.2479
20.0000 1.4231 41.8275
-20.0000 1.5256 -0.2435
-19.3220 1.5256 7.6836
-18.6441 1.5256 15.7114
-17.9661 1.5256 23.7327
-17.2881 1.5256 31.6952
-16.6102 1.5256 39.5465
-15.9322 1.5256 47.2342
-15.2542 1.5256 54.7059
-14.5763 1.5256 61.9093
-13.8983 1.5256 68.7920
-13.2203 1.5256 75.3015
-12.5424 1.5256 81.3855
-11.8644 1.5256 86.9917
-11.1864 1.5256 92.0675
-10.5085 1.5256 96.5607
-9.8305 1.5256 100.4207
-9.1525 1.5256 103.6586
-8.4746 1.5256 106.2924
-7.7966 1.5256 108.3767
-7.1186 1.5256 109.9672
-6.4407 1.5256 111.1192
-5.7627 1.5256 111.8884
-5.0847 1.5256 112.3302
-4.4068 1.5256 112.5002
-3.7288 1.5256 112.4538
-3.0508 1.5256 112.2465
-2.3729 1.5256 111.9340
-1.6949 1.5256 111.5716
-1.0169 1.5256 111.2150
-0.3390 1.5256 110.9331
0.3390 1.5256 110.7627
1.0169 1.5256 110.6189
1.6949 1.5256 110.5156
2.3729 1.5256 110.4142
3.0508 1.5256 110.2835
3.7288 1.5256 110.0921
4.4068 1.5256 109.8086
5.0847 1.5256 109.4016
5.7627 1.5256 108.8398
6.4407 1.5256 108.0919
7.1186 1.5256 107.1264
7.7966 1.5256 105.9121
8.4746 1.5256 104.4175
9.1525 1.5256 102.6114
9.8305 1.5256 100.4622
10.5085 1.5256 97.9206
11.1864 1.5256 95.0067
11.8644 1.5256 91.7676
12.5424 1.5256 88.2356
13.2203 1.5256 84.4432
13.8983 1.5256 80.4230
14.5763 1.5256 76.2073
15.2542 1.5256 71.8288
15.9322 1.5256 67.3197
16.6102 1.5256 62.7127
17.2881 1.5256 58.0403
17.9661 1.5256 53.3348
18.6441 1.5256 48.6287
19.3220 1.5256 43.9546
20.0000 1.5256 39.3506
-20.0000 1.6282 -0.9925
-19.3220 1.6282 6.6768
-18.6441 1.6282 14.1725
-17.9661 1.6282 21.7819
-17.2881 1.6282 29.6503
-16.6102 1.6282 37.4864
-15.9322 1.6282 45.1590
-15.2542 1.6282 52.6156
-14.5763 1.6282 59.8038
-13.8983 1.6282 66.6713
-13.2203 1.6282 73.1656
-12.5424 1.6282 79.2345
-11.8644 1.6282 84.8255
-11.1864 1.6282 89.8861
-10.5085 1.6282 94.3554
-9.8305 1.6282 98.1603
-9.1525 1.6282 101.3515
-8.4746 1.6282 104.0018
-7.7966 1.6282 106.1162
-7.1186 1.6282 107.7366
-6.4407 1.6282 108.9187
-5.7627 1.6282 109.7179
-5.0847 1.6282 110.1897
-4.4068 1.6282 110.3897
-3.7288 1.6282 110.3733
-3.0508 1.6282 110.1961
-2.3729 1.6282 109.9247
-1.6949 1.6282 109.8494
-1.0169 1.6282 110.1038
-0.3390 1.6282 109.8472
0.3390 1.6282 109.8203
1.0169 1.6282 109.9349
1.6949 1.6282 109.5714
2.3729 1.6282 109.3615
3.0508 1.6282 109.2517
3.7288 1.6282 109.0871
4.4068 1.6282 108.8303
5.0847 1.6282 108.4501
5.7627 1.6282 107.9151
6.4407 1.6282 107.1940
7.1186 1.6282 106.2553
7.7966 1.6282 105.0677
8.4746 1.6282 103.5999
9.1525 1.6282 101.8185
9.8305 1.6282 99.6768
10.5085 1.6282 97.1078
11.1864 1.6282 94.0842
11.8644 1.6282 90.6920
12.5424 1.6282 87.0065
13.2203 1.6282 83.0606
13.8983 1.6282 78.8868
14.5763 1.6282 74.5176
15.2542 1.6282 69.9855
15.9322 1.6282 65.3229
16.6102 1.6282 60.5623
17.2881 1.6282 55.7363
17.9661 1.6282 50.9190
18.6441 1.6282 46.2720
19.3220 1.6282 41.5920
20.0000 1.6282 36.5681
-20.0000 1.7308 -1.4227
-19.3220 1.7308 6.0505
-18.6441 1.7308 13.4660
-17.9661 1.7308 20.6558
-17.2881 1.7308 27.6521
-16.6102 1.7308 34.9318
-15.9322 1.7308 42.3860
-15.2542 1.7308 49.8357
-14.5763 1.7308 57.0648
-13.8983 1.7308 63.9731
-13.2203 1.7308 70.5083
-12.5424 1.7308 76.6181
-11.8644 1.7308 82.2483
-11.1864 1.7308 87.3291
-10.5085 1.7308 91.7813
-9.8305 1.7308 95.5309
-9.1525 1.7308 98.6394
-8.4746 1.7308 101.1882
-7.7966 1.7308 103.2266
-7.1186 1.7308 104.7934
-6.4407 1.7308 105.9221
-5.7627 1.7308 106.6679
-5.0847 1.7308 107.0864
-4.4068 1.7308 107.2399
-3.7288 1.7308 107.3292
-3.0508 1.7308 107.5736
-2.3729 1.7308 108.1683
-1.6949 1.7308 108.6538
-1.0169 1.7308 108.3429
-0.3390 1.7308 108.0707
0.3390 1.7308 108.1987
1.0169 1.7308 108.5953
1.6949 1.7308 108.9010
2.3729 1.7308 108.5131
3.0508 1.7308 107.9676
3.7288 1.7308 107.6086
4.4068 1.7308 107.3277
5.0847 1.7308 107.0042
5.7627 1.7308 106.5295
6.4407 1.7308 105.8687
7.1186 1.7308 104.9903
7.7966 1.7308 103.8630
8.4746 1.7308 102.4489
9.1525 1.7308 100.6989
9.8305 1.7308 98.5633
10.5085 1.7308 95.9720
11.1864 1.7308 92.8894
11.8644 1.7308 89.3862
12.5424 1.7308 85.5381
13.2203 1.7308 81.4220
13.8983 1.7308 77.0780
14.5763 1.7308 72.5387
15.2542 1.7308 67.8364
15.9322 1.7308 63.0291
16.6102 1.7308 58.2391
17.2881 1.7308 53.5707
17.9661 1.7308 49.0656
18.6441 1.7308 44.2360
19.3220 1.7308 39.0099
20.0000 1.7308 33.5412
-20.0000 1.8333 -1.5888
-19.3220 1.8333 5.7061
-18.6441 1.8333 12.9489
-17.9661 1.8333 20.0928
-17.2881 1.8333 26.9871
-16.6102 1.8333 33.5532
-15.9322 1.8333 40.1882
-15.2542 1.8333 47.0850
-14.5763 1.8333 54.0665
-13.8983 1.8333 60.9558
-13.2203 1.8333 67.5759
-12.5424 1.8333 73.7755
-11.8644 1.8333 79.4660
-11.1864 1.8333 84.5684
-10.5085 1.8333 89.0037
-9.8305 1.8333 92.6980
-9.1525 1.8333 95.7239
-8.4746 1.8333 98.1669
-7.7966 1.8333 100.0767
-7.1186 1.8333 101.5027
-6.4407 1.8333 102.4952
-5.7627 1.8333 103.1586
-5.0847 1.8333 103.6809
-4.4068 1.8333 104.2574
-3.7288 1.8333 105.0832
-3.0508 1.8333 106.2113
-2.3729 1.8333 106.6410
-1.6949 1.8333 106.3494
-1.0169 1.8333 105.9064
-0.3390 1.8333 105.8082
0.3390 1.8333 106.0911
1.0169 1.8333 106.6222
1.6949 1.8333 107.2884
2.3729 1.8333 107.6730
3.0508 1.8333 107.4096
3.7288 1.8333 106.5897
4.4068 1.8333 105.9175
5.0847 1.8333 105.3787
5.7627 1.8333 104.8651
6.4407 1.8333 104.2681
7.1186 1.8333 103.4822
7.7966 1.8333 102.4354
8.4746 1.8333 101.0776
9.1525 1.8333 99.3588
9.8305 1.8333 97.2294
10.5085 1.8333 94.6158
11.1864 1.8333 91.4741
11.8644 1.8333 87.8749
12.5424 1.8333 83.8922
13.2203 1.8333 79.6004
13.8983 1.8333 75.0765
14.5763 1.8333 70.4163
15.2542 1.8333 65.7229
15.9322 1.8333 61.0998
16.6102 1.8333 56.6502
17.2881 1.8333 52.1564
17.9661 1.8333 47.2233
18.6441 1.8333 41.8725
19.3220 1.8333 36.2292
20.0000 1.8333 30.3388
-20.0000 1.9359 -1.5454
-19.3220 1.9359 5.5893
-18.6441 1.9359 12.6691
-17.9661 1.9359 19.6690
-17.2881 1.9359 26.5306
-16.6102 1.9359 33.1351
-15.9322 1.9359 39.4125
-15.2542 1.9359 45.4342
-14.5763 1.9359 51.7228
-13.8983 1.9359 58.1834
-13.2203 1.9359 64.6391
-12.5424 1.9359 70.8946
-11.8644 1.9359 76.6455
-11.1864 1.9359 81.7696
-10.5085 1.9359 86.1878
-9.8305 1.9359 89.8269
-9.1525 1.9359 92.7701
-8.4746 1.9359 95.1075
-7.7966 1.9359 96.8887
-7.1186 1.9359 98.1638
-6.4407 1.9359 99.1315
-5.7627 1.9359 100.0523
-5.0847 1.9359 101.1215
-4.4068 1.9359 102.5343
-3.7288 1.9359 103.7720
-3.0508 1.9359 104.1350
-2.3729 1.9359 103.8787
-1.6949 1.9359 103.3812
-1.0169 1.9359 103.1305
-0.3390 1.9359 103.2064
0.3390 1.9359 103.6442
1.0169 1.9359 104.3098
1.6949 1.9359 105.0904
2.3729 1.9359 105.8726
3.0508 1.9359 106.2715
3.7288 1.9359 106.0890
4.4068 1.9359 105.2353
5.0847 1.9359 104.2168
5.7627 1.9359 103.3872
6.4407 1.9359 102.6381
7.1186 1.9359 101.8610
7.7966 1.9359 100.8950
8.4746 1.9359 99.5935
9.1525 1.9359 97.9060
9.8305 1.9359 95.7826
10.5085 1.9359 93.1467
11.1864 1.9359 89.9461
11.8644 1.9359 86.2506
12.5424 1.9359 82.1347
13.2203 1.9359 77.7032
13.8983 1.9359 73.1732
14.5763 1.9359 68.6620
15.2542 1.9359 64.2729
15.9322 1.9359 60.0410
16.6102 1.9359 55.4853
17.2881 1.9359 50.4991
17.9661 1.9359 45.0932
18.6441 1.9359 39.3484
19.3220 1.9359 33.3191
20.0000 1.9359 27.0297
-20.0000 2.0385 -1.3469
